name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
inpost sa,air freight and logistics,enxtam,luxembourg city,luxembourg,6147,brzoska rafal,aleksandrowicz adam,,bank handlowy w warszawie s.a.,bank polska kasa opieki s.a.,barclays bank ireland plc,bnp paribas bank polska s.a.,citysprint (uk) ltd,credit agricole bank polska s.a.,erste group bank ag,goldman sachs bank europe se,hermès international société en commandite par actions,ing bank slaski s.a.,agora s.a.,aliexpress ltd.,allegro.pl sp. z o.o.,amazon.com inc.,asos plc,auchan polska sp. z o.o.,boohoo group plc,dune group limited,empik sp. z o.o.,eobuwie.pl s.a.,,board member,robertshaw mark ,bax marieke ,jones cristina berta,rose nick ,huep ralf ,roth michael ,sen ranjan ,
symrise ag,specialty chemicals,xtra,holzminden,germany,12265,bertram heinz-jurgen,klinger olaf,,agan aroma & fine chemicals limited,ceapro inc.,foods and inns limited,privi speciality chemicals limited,probi ab (publ),proteinas del ecuador ecuaprotein s.a.,scelta umami b.v.,spf do brasil industria e comercio ltda.,tata communications limited,,probi ab (publ),top frontier investment holdings inc.,,,,,,,,,,board member,konig michael ,feist harald ,hirsch bernd ,wang xuemin ,pfeifer andrea ,buck ursula ,chiarlitti jeannette ,kirchhoff andre 
wallenstam ab,real estate operating companies,om,gothenburg,sweden,274,wallenstam hans,linde susann,,hmb construction ab,,,,,,,,,,academedia ab (publ),advokatfirman styrks ab,apoteket ab (publ.),aranea holding ab,barn i nod-insamlingsstiftelsen svensk internationell barnhjalp,bilia group stockholm ab,bjora group ab,bröderna hanssons i göteborg export aktiebolag,butterick´s leco ab,bvh car recond,,board member,bokenberger lars-ake ,weijber karin mattsson,wallenstam rebecka ,wallenstam agneta ,söderlund mikael ,,,
informa plc,advertising,lse,london,united kingdom,11135,carter stephen,wright gareth,55.0,computershare investor services plc,inspired plc,merit group plc,on24 inc.,,,,,,,european commission,,,,,,,,,,,board member,rishton john f.,carter stephen andrew,wright gareth richard,martell patrick ,whitehead gillian rosemary,smalley louise helen,mcdowell mary t.,flaschen david j.s.
cellnex telecom sa,integrated telecommunication services,bme,madrid,spain,3015,patuano marco emilio,aisa mancho jose,50.0,mediobanca banca di credito finanziario s.p.a.,,,,,,,,,,bigbelly inc.,bouygues telecom sa,deutsche telekom ag,european commission,groupe segula technologies sa,meliá hotels international s.a.,national university of distance education (uned),orange espagne s.a.u.,paris la defense services,telefónica s.a.,,board member,bouverot anne ,patuano marco emilio angelo,del rivero bermejo marieta ,fau ana m. garcia,d’hinnin dominique ,blayau pierre ,guijarro pinal maria luisa,coco christian 
st james's place plc,asset management and custody banks,lse,cirencester,united kingdom,2770,croft andrew,gentle craig,,aon plc,bank of scotland plc,clydesdale bank plc,computershare investor services plc,investec group,metro bank holdings plc,mitie group plc,national westminster bank plc,redington holdings ltd,rocaton investment advisors llc,st. james's place partnership services limited,,,,,,,,,,,board member,sant manduca paul victor falzon,croft andrew ,gentle craig gordon,hilary rosemary ,burke dominic james,griffin emma kate,nash lesley-ann ,hitchins john charles fortescue
dassault systemes se,application software,enxtpa,vélizy-villacoublay,france,25000,charles bernard,bergmann rouven,75.0,addnode group ab (publ),aerolia sa,aerostar s.a.,atos se,collins aerospace,constellium se,covivio,exel industries sa,meggitt plc,novelis alr aluminum holdings corporation,alstom sa,bayerische motoren werke aktiengesellschaft,blue spirit aero,clean sea solutions as,comez international srl,dassault aviation société anonyme,dassault aviation société anonyme,forvia se,futura gaïa technologies,galaxy fct sdn. bhd.,,board member,charles bernard s.,edelstenne charles ,daloz pascal ,de fromont de bouaille tanneguy ,berger genevieve b.,daures-lescourret laurence ,cauchois xavier ,desforges odile 
solvay sa,diversified chemicals,enxtbr,brussels,belgium,22000,kadri ilham,hajjar karim,60.0,aarti industries limited,byotrol plc,deinove sa,hexcel corporation,lab sa,lune holdings s.à r.l.,origin materials inc.,spie belgium sa,touax sca,,biomérieux s.a.,electronic fluorocarbons llc,henkel ag & co. kgaa,interlink electronics inc.,l'oréal s.a.,vertical aerospace ltd.,,,,,,board member,boel nicolas ,kadri ilham ,thorne rosemary prudence,michel gilles ,lievonen matti ,d'eeckenbrugge herve coppens,de viron francoise ,oudeman maria johanna
polymetal international plc,gold,nyse,limassol,cyprus,15160,nesis vitaly,nazimok maxim,,computershare investor services (jersey) limited,credit bank of moscow (public joint-stock company),llc sberbank investments,sberbank of russia,smt scharf ag,société générale société anonyme,,,,,wiluna mining corporation limited,,,,,,,,,,,board member,nesis vitaly n.,berdalina janat ,dashevsky steven ,konovalenko evgueni ,sharko richard ,yanakov konstantin periklis,perez pascale jeannin,
swiss prime site ag,real estate operating companies,swx,zug,switzerland,609,zahnd rené,kucher marcel,,aeroflex co. ltd.,wüest & partner ag,,,,,,,,,bank cler ag,migros-genossenschafts-bund,swiss prime site solutions investment fund,swisscom ag,tertianum ag,zurich insurance group,,,,,,board member,buechner ton ,studhalter thomas ,nater-bass gabrielle ,knoflach barbara a.,chambers christopher michael,walter brigitte ,conrad reto ,
