name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
acs actividades de construccion y servicios sa,construction and engineering,bme,madrid,spain,132118,cases juan,,55.0,banco de sabadell s.a.,fidalser s.l.,,,,,,,,,celtic roads group (portlaoise) limited,high speed two (hs2) limited,ontario infrastructure and lands corporation,road management (a13) plc,,,,,,,,board member,pérez rodríguez florentino ,cases juan santamaria,lopez jimenez pedro jose,del valle perez jose-luis ,davoren peter j.,valderas martínez adolfo ,haltiwanger nuria ,botella garcía antonio 
christian dior se,apparel accessories and luxury goods,enxtpa,paris,france,161888,arnault antoine,ollivier florian,,activation group holdings limited,agache se,agache se,artnet ag,capitaland malaysia trust,depa plc,diageo plc,groupe media 6,hang lung group limited,hang lung properties limited,agache se,agache se,agache se,douglas gmbh,dufry ag,jd.com inc.,,,,,,board member,arnault bernard ,arnault antoine ,de labriffe christian ,desmarais helene ,de marichalar y saenz de tejada jaime ,de vabres renaud donnedieu,gallienne-frere segolene ,gancia delphine arnault
ds smith plc,paper and plastic packaging products and materials,lse,london,united kingdom,29519,roberts miles,pike richard,55.0,abrdn european logistics income plc,equiniti limited,,,,,,,,,lidl snc,,,,,,,,,,,board member,drabble geoffrey ,roberts miles william,pike richard neil,robbie david ,baxter celia frances,smalley louise helen,kessel alina ,johnson alan 
muenchener rueckversicherungs gesellschaft in muenchen ag,reinsurance,xtra,munich,germany,42061,wenning joachim,jurecka christoph,85.0,disco parent inc.,eolus vind ab (publ),flughafen münchen gmbh,hdfc ergo general insurance company limited,meag munich ergo asset management gmbh,pt panin financial tbk,pt paninvest tbk,spie gmbh,verisk analytics inc.,,aa limited,aditya birla sun life insurance company limited,admiral group plc,aljazira takaful taawuni company,arpico insurance plc,axa mansard insurance plc,brighthouse financial inc.,china life insurance co. ltd.,china life insurance company limited,china pacific insurance (group) co. ltd.,,board member,von bomhard nikolaus ,horstmann anne ,schinzler hans-jürgen ,achleitner ann-kristin ,zimmerer maximilian ,booth clement burns,fassin frank ,gather ursula 
close brothers group plc,diversified banks,lse,london,united kingdom,4080,sainsbury adrian,morgan michael,,link group limited,,,,,,,,,,abrdn plc,aviva plc,journeo plc,moneybox corp. ltd.,novia financial plc,pacific green technologies inc.,wealth at work limited,wealthify group limited,,,,board member,biggs michael nicholas,sainsbury adrian john,morgan michael bartlett,corbett oliver roebling panton,halliday patricia marie,graham tracey ,pain mark andrew,duffy peter bernard
auto1 group se,automotive retail,xtra,berlin,germany,5488,bertermann christian,boser markus,,auto1 funding b.v.,,,,,,,,,,,,,,,,,,,,,board member,cromme gerhard ,koc hakan ,hausler gerd rolf,henner santelmann lars ,naheta akshay ,von specht sylvie mutschler,momboisse martine gorce,
volkswagen ag,automobile manufacturers,xtra,wolfsburg,germany,675880,blume oliver,antlitz arno,65.0,aa limited,ad plastik d.d.,adient plc,aeroports de paris sa,alicon castalloy limited,alumetal s.a.,apollo tyres limited,audi ag,audi ag,audix corporation,abuja (capital) motors limited,asbury automotive group inc.,audi ag,audi singapore pte. ltd.,audi volkswagen korea ltd.,audi volkswagen middle east fze,automobile central enterprise inc.,autonation inc.,autosports group limited,avis budget group inc.,,board member,potsch hans dieter,hofmann jörg ,al-mahmoud mansoor ebrahim,cavallo daniela ,mosch peter ,porsche wolfgang ,porsche ferdinand oliver,piech hans michel
heidelbergcement ag,construction materials,xtra,heidelberg,germany,51492,von achten dominik,aldach rené,60.0,atoss software ag,epiroc ab (publ),heidelbergcement finance luxembourg s.a.,heidelbergcement india limited,kfw,phoenix pharmahandel gmbh & co kg,sis limited,,,,akçansa çimento sanayi ve ticaret anonim sirketi,heidelbergcement bangladesh limited,heidelbergcement india limited,phoenix pharmahandel gmbh & co kg,pt indocement tunggal prakarsa tbk,tanzania portland cement public limited company,vassiliko cement works public company ltd,,,,,board member,scheifele bernd ,schmitt heinz ,merckle ludwig ,weissenberger-eibl marion a.,mucic luka ,vanfrachem paul ,platschorre marinus ,merceron-vicat jacques 
infineon technologies ag,semiconductors,xtra,neubiberg,germany,57888,hanebeck jochen,schneider sven,60.0,arm holdings plc,be semiconductor industries n.v.,cirtek electronics corporation,coherent corp.,globalfoundries inc.,magnachip semiconductor corporation,mk electron co. ltd.,rambus inc.,siltronic ag,skywater technology foundry inc.,ase technology holding co. ltd.,delta capital management llc,focus universal inc.,magnachip semiconductor corporation,sentry enterprises limited,solaredge technologies inc.,weikeng industrial co. ltd.,wpg holdings limited,zenitron corporation,,,board member,diess herbert ,dechant johann ,gruber peter ,eichiner friedrich ,puffer manfred ,scholz jurgen ,lachenmann susanne ,engelfried annette 
royal unibrew a/s,brewers,cpse,faxe,denmark,3600,jensen lars,vestergaard lars,,diageo plc,heineken international b.v.,pepsico inc.,relesys a/s,,,,,,,carib glassworks ltd,pepsico inc.,,,,,,,,,,board member,ruzicka peter arne,valeur jais stampe,alsø martin ,kaersgaard claus ,sagild christian ,nielsen michael ,kleinbach-sauter heidi ,von stackelberg-hammarén catharina 
qiagen nv,life sciences tools and services,nyse,venlo,netherlands,6100,bernard thierry,sackers roland,,avepoint inc.,equiniti trust company llc,mdxhealth sa,tata consultancy services limited,,,,,,,ascendis health limited,caredx inc,ilex medical ltd,interpace biosciences inc.,invitae corporation,opgen inc.,united states,,,,,board member,rosen lawrence a.,tallett elizabeth edith,levine ross l.,haag toralf a.,colpan metin ,mardis elaine r.,kaspar peter klaus,nordmann patrice 
industria de diseno textil sa,apparel retail,bme,a coruña,spain,116075,maceiras oscar,izuzquiza fernández ignacio,,arvind limited,british land company plc,brookfield property reit inc.,çal'k denim tekstil san. ve tic. a',callisons inc.,carmila s.a.,clipper logistics plc,coats group plc,couchbase inc.,delta galil industries ltd.,apranga hlv sia,apranga mlv sia,ou apranga bee,ou apranga estonia,ou apranga hest,ou apranga mde,ou apranga pb trade,ou apranga st retail,pg p.l.c.,prima buana perkasa vietnam co. ltd,,board member,perez marta ortega,maceiras oscar garcia,arnau sierra josé ,echenique gordillo rodrigo ,durán schulz jose luis,kingsmill denise patricia ,lópez álvarez pilar ,ortega gaona amancio 
adecco group ag,human resource and employment services,swx,zurich,switzerland,39000,machuel denis,williams coram,65.0,bank of new york mellon sa/nv (luxembourg branch),dhi group inc.,,,,,,,,,awanbiru technology berhad,,,,,,,,,,,board member,deslarzes jean-christophe ,taylor kathleen p.,gut alexander ,lamouche didier r.,wallimann regula ,prince david norman ,gorin ariane ,duan rachel 
abrdn plc,asset management and custody banks,lse,edinburgh,united kingdom,5130,bird stephen,jenkins ian,65.0,close brothers group plc,equiniti group limited,glassbox ltd,,,,,,,,phoenix group holdings plc,,,,,,,,,,,board member,flint douglas jardine,bird stephen ,devine john ,asquith jonathan paul,bradley catherine-annick ,raffaeli carolyn cathleen,grove hannah m.,o'brien michael frederick
iss a/s,diversified support services,cpse,søborg,denmark,305593,fangel kasper,hã¸jlund carsten,55.0,techstep asa,,,,,,,,,,barclays bank plc,chile,deutsche telekom ag,estonia,hewlett packard enterprise company,slovenské elektrárne a.s.,whirlpool do brasil ltda.,,,,,board member,smedegaard niels ,petersson lars johan,benborg pernille ,elboayadi nada ,adamsen signe ,blankensteiner janek ,stevens john benedict,kuhn kelly l.
sandvik ab,industrial machinery and supplies and components,om,stockholm,sweden,40882,widing stefan,felton cecilia,70.0,alleima ab (publ),cavotec sa,coor service management holding ab,dana incorporated,euroclear sweden ab,jinlei technology co. ltd.,laserbond limited,oem international ab (publ),prevas ab,systemair ab (publ),alleima ab (publ),bhp group (uk) ltd,corporación nacional del cobre de chile,emeco pty limited,ferronordic ab (publ),foran mining corporation,indian oil corporation limited,jchx mining management co.ltd.,new gold inc.,rana gruber asa,,board member,molin johan ,widing stefan ,barnevik percy n.,boustedt claes ,andersson thomas ,allerton jennifer m.,stjernholm helena ,lilja thomas 
equinor asa,integrated oil and gas,ob,stavanger,norway,21936,opedal anders,reitan torgrim,85.0,a/s norske shell,aet inc. limited,af anlegg,af gruppen asa,aibel as,akakus oil operations ag,aker bp asa,aker solutions asa,alpine group partners llc,altera infrastructure l.p.,ab ignitis grupe,aker bp asa,conocophillips,dcc lpg limited,dcc retail & oil limited,enbw energie baden-württemberg ag,equinor energy as,equinor marketing & trading (us) inc.,galp energia sgps s.a.,gassco as,,board member,erik reinhardsen jon ,drinkwater anne ,roth jarle ,lewis jonathan ,bastiansen nils halvard,laegreid stig ,herlofsen rebekka glasser,labraten per martin
ing groep nv,diversified banks,enxtam,amsterdam,netherlands,59000,van rijswijk steven j.,phutrakul tanate,70.0,apple pay limited,comp s.a.,emakina group sa,euronext n.v.,evolution mining limited,global net lease operating partnership l.p.,maintel holdings plc,raonsecure co. ltd.,sc practic sa,sis limited,ab sagax (publ),befimmo sa,dht holdings inc.,diagnostic and therapeutic center of athens hygeia sa,eurocommercial properties n.v.,home invest belgium s.a.,immsi s.p.a.,ing bank n.v.,koninklijke heijmans n.v.,korea gas corporation,,board member,guha karl k.,rees alun michael guest,haase margarete ,verhagen hendrika w. p. m. a.,van den bergh lodewijk j. hijmans,naus harold h. j. g.,hulst herman a. h.,calafat juan colombas
straumann holding ag,health care equipment,swx,basel,switzerland,10543,daniellot guillaume,xu yang,,3shape a/s,amann girrbach ag,carestream health inc.,international team for implantology,medartis ag,medit corp.,nano intelligent biomedical engineering corporation,zirkonzahn usa inc,,,international team for implantology (korea),,,,,,,,,,,board member,achermann gilbert ,rumpf petra ,gadola marco ,straumann thomas ,wallimann regula ,gonzalez juan-josé ,schmidt nadia tarolli,filliol olivier a.
edp energias de portugal sa,electric utilities,enxtls,lisbon,portugal,13323,de andrade miguel,teixeira rui manuel rodrigues,60.0,ace italy s.a.r.l.,ace poland s.a.r.l.,ace portugal sàrl,edp - energias do brasil s.a.,edp españa sa,edp finance b.v.,edp pension fund,edp renováveis s.a.,mediobanca banca di credito finanziario s.p.a.,ren - redes energéticas nacionais sgps s.a.,cementos tudela veguín s.a.,edp - gestão da produção de energia s.a.,edp distribuição - energia s.a.,edp finance b.v.,edp renováveis s.a.,forvia se,gerresheimer zaragoza s.a.,liberbank s.a.,nos s.g.p.s. s.a.,ow fs offshore sa,,board member,de andrade miguel stilwell,teixeira rui manuel rodrigues lopes,pereira maria teresa isabel,ramalho de carvalho talone joao luis,viegas josé manuel care baptista,leite miguel espregueira mendes pereira,neves joão carlos carvalho das,ferreira setas miguel nuno simões nunes
siemens healthineers ag,health care equipment,xtra,erlangen,germany,70800,montag bernhard,schmitz jochen,,atos se,avepoint inc.,bioventix plc,clearpoint neuro inc.,mentice ab (publ),perspectum group plc,proscia inc.,siemens aktiengesellschaft,siemens finance b.v.,syntheticmr ab (publ),medilines distributors incorporated,mentice ab (publ),synlab ag,,,,,,,,,board member,peter thomas ralf ,gaus norbert ,streibich karl-heinz ,helmes marion ,busch roland ,schatz peer michael,hoffmann andreas christian,sorensen gregory 
atlas copco ab,industrial machinery and supplies and components,om,nacka,sweden,51363,rahmström mats,kinnart peter,80.0,atrium ljungberg ab (publ),bts group ab (publ),cavotec sa,european investment bank,hiq international ab (publ),master components limited,prevas ab,snt energy co. ltd.,tomlinson energy service pty limited,,,,,,,,,,,,,board member,straberg hans ,rahmström mats ,ohlsson-leijon anna ,bergstedt mikael ,forssell johan ,wallenberg peter ,larsson benny ,riske gordon 
johnson matthey plc,specialty chemicals,lse,london,united kingdom,12638,condon liam,oxley stephen,,coeur mining inc.,datang environment industry group co. ltd.,equiniti limited,kfw,manila mining corporation,neo performance materials inc.,,,,,dialog group berhad,intensity therapeutics inc.,mercedes-benz ag,sci engineered materials inc.,solar applied materials technology corporation,,,,,,,board member,thomas patrick w.,oxley stephen richard,mottershead christopher ,webb doug r.,jeremiah barbara s.,griffiths jane veronica,o'higgins john e.,liu xiaozhi 
volvo ab,construction machinery and heavy transportation equipment,om,gothenburg,sweden,88834,lundstedt martin,backman mats,75.0,absolent air care group ab (publ),actia automotive sa,addnode group ab (publ),adient plc,alicon castalloy limited,aq group ab (publ),arnold worldwide llc,asahi india glass limited,atmus filtration technologies inc.,atrium ljungberg ab (publ),alta equipment group inc.,asbury automotive group inc.,autocanada inc.,autonation inc.,autosports group limited,betterlife holding limited,bilia ab (publ),brisbane bmw unit trust,caffyns plc,cambria automobiles limited,,board member,svanberg carl-henric ,lundstedt martin ,vikner paul l.,elzvik eric a.,ask lars ,alahuhta matti ,marinello kathryn vanstrom,merz martina 
simcorp a/s,application software,cpse,copenhagen,denmark,2456,kromann christian,bjergby michael,,impero a/s,microsoft corporation,,,,,,,,,danske bank a/s asset management arm,gam investment management (switzerland) ag,,,,,,,,,,board member,schütze peter ,hubbe morten ,jeffreys simon john lewis,warby adam h.,standiford susan ,klausen charlotte sondergaard,rinke sven ,cook neil 
bachem holding ag,life sciences tools and services,nyse,bubendorf,switzerland,1926,meier thomas,schaffter alain,,breiten immobilien ag,,,,,,,,,,ascendis pharma a/s,breiten immobilien ag,chemoforma ltd.,mymetics corporation,,,,,,,,board member,sommer kuno ,hotzer nicole grogg,grogg peter ,wennemers helma ,fassler alex ,lang steffen ,,
homeserve plc,diversified support services,lse,walsall,united kingdom,9000,harpin richard,,,centreline av limited,computershare investor services plc,harpin sa,,,,,,,,ondo insurtech plc,,,,,,,,,,,board member,breen tommy ,harpin richard david,clemmow ross ,cliffe katrina jane,mcmillan ronald thomas,fitzmaurice edward ,bower david ,rusin thomas j.
holmen ab,paper products,om,stockholm,sweden,3500,sjolund henrik,jernhall anders,65.0,fastighets ab l e lundberg,harrsele ab,valmet oyj,,,,,,,,,,,,,,,,,,,board member,lundberg fredrik ,sjolund henrik ,lundahl ulf ,kempe alice ,lindh eva louise katarina,zeuchner henriette ,josefsson lars o.,persson fredrik 
klepierre sa,retail reits,enxtpa,paris,france,1026,jestin jean-marc,tortajada stephane,65.0,bnp paribas real estate sas,cbre group inc.,cushman & wakefield inc.,jones lang lasalle services sas,umanis sa,,,,,,adidas ag,albert heijn b.v.,bershka bsk españa s.a.,bestseller a/s,buffalo grill s.a.,calvin klein inc.,calzedonia s.p.a.,caribbean restaurants llc,deichmann se,delcy,,board member,simon david e.,de clermont-tonnerre beatrice ,fivel steven e.,simoni catherine ,carrafiell john anthony,van lerberghe rose-marie ,shashoua stanley ,von erb florence 
unibail-rodamco-westfield se,retail reits,enxtpa,paris,france,2615,tritant jean-marie,mouchel fabrice,65.0,aeroports de paris sa,artefact sa,clear channel france sa,cushman & wakefield inc.,deerfield duff & phelps llc,it link sa,jones lang lasalle incorporated,mitie group plc,ocean outdoor limited,pricewaterhousecoopers llp,accor sa,adidas ag,ageas sa/nv,åhléns ab,albert heijn b.v.,allbirds inc.,amazon.com inc.,amc entertainment holdings inc.,apec limited,apple inc.,,board member,richier jacques blaise,cabanis cecile ,munsters roderick marie stella maris,dessolain michel ,sylla-walbaum aline ,kollmann dagmar p.,niel xavier bruno,gallardo torrededia susana 
reply spa,it consulting and other services,bit,turin,italy,14307,,angelucci daniele,,intesa sanpaolo s.p.a.,sanpaolo imi s.p.a.,unicredit s.p.a.,,,,,,,,agenzia delle entrate,anas s.p.a.,arma dei carabinieri srl,azimut holding s.p.a.,breed reply investments limited,buyerlink llc,centro per gli studi di tecnica navale cetena spa,core reply s.r.l,elgin national industries inc.,hermes reply polska sp zoo,,board member,rizzante mario ,rizzante tatiana ,angelucci daniele ,rizzante filippo ,previtera maria elena,cusinato marco ,polliotto patrizia ,di carluccio ciro 
voestalpine ag,steel,wbag,linz,austria,51164,eibensteiner herbert,ottel robert,,dawonsys co.ltd.,,,,,,,,,,eurogroup laminations s.p.a.,,,,,,,,,,,board member,eder wolfgang ,schaller heinrich ,gasselsberger franz ,gritz josef ,schaller hans-karl ,scheidreiter gerhard ,fritz sandra ,jorg ingrid 
gerresheimer ag,life sciences tools and services,xtra,düsseldorf,germany,11234,siemssen dietmar,metzner bernd,,,,,,,,,,,,gerresheimer buenos aires s.a.,,,,,,,,,,,board member,herberg axel ,grioli francesco ,schnitzler katja ,kohler annette g.,vetter udo johannes,rocholz markus ,louise dorrepaal karin ,noe peter michael
amundi sa,asset management and custody banks,enxtpa,paris,france,5400,baudson valerie,aiello domenico,,smartbroker holding ag,,,,,,,,,,banco de sabadell s.a.,bawag group ag,crédit agricole assurances s.a.,credit agricole bank polska s.a.,crédit agricole s.a.,crédit du nord société anonyme,crédit lyonnais s.a.,eurobank ergasias services and holdings s.a.,komercní banka a.s.,resona holdings inc.,,board member,brassac philippe ,perrier yves ,leblanc robert ,molinari helene ,rouchon christian ,védrine hubert ,cayatte virginie ,danon-arnaud laurence 
siemens energy ag,heavy electrical equipment,xtra,munich,germany,94000,bruch christian,ferraro maria,55.0,eurogroup laminations s.p.a.,google llc,siemens aktiengesellschaft,siemens aktiengesellschaft,siemens aktiengesellschaft,smartspace software plc,,,,,chart energy & chemicals inc.,hif global,mmex resources corporation,northeast energy center llc,siemens aktiengesellschaft,vattenfall ab,,,,,,board member,kaeser josef ,lienhard hubert ,kensbock robert ,mulliez laurence b. l. e.,bortenlanger christine maria,gabriel sigmar ,muller hildegard ,rebellius matthias ernst
puma se,footwear,xtra,herzogenaurach,germany,17590,freundt arne,hinterseher hubert,,autostore holdings ltd.,hela apparel holdings plc,id logistics group sa,ise commerce company limited,ithacalux topco s.c.a.,malaysia airports holdings berhad,noontalk media limited,pan-pacific co. ltd.,parsvnath developers limited,pronto express logistica s/a,caleres inc.,delta galil industries ltd.,delta galil industries ltd.,dufry ag,foot locker inc.,foot locker inc.,fossil group inc.,hibbett inc.,jd sports fashion plc,mst golf group berhad,,board member,temple-boyer heloise ,ohlsson thore ,duplaix jean-marc ,oly fiona may,illig bernd ,koeppel martin ,,
aviva plc,multi_line insurance,lse,london,united kingdom,24364,blanc amanda,jones charlotte,75.0,apple inc.,aviva group holdings limited,close brothers group plc,comp s.a.,computershare investor services plc,dianomi plc,equiniti group limited,fintel plc,general accident plc,global net lease operating partnership l.p.,aa limited,aviva group holdings limited,birchwood warrington limited,fintel plc,primary health properties plc,redefine properties international limited,royal bank of canada,stor-age property reit limited,,,,board member,culmer mark george,blanc amanda jayne,jones charlotte claire,flynn patrick gerard,lambert philippa ,jemmett-page shonaid christina ross,blance andrea margaret,mire michael philip
genmab a/s,biotechnology,cpse,copenhagen,denmark,2015,winkel jan g.j. van,pagano anthony,,abbvie biotechnology ltd.,immatics n.v.,lonza group ag,medarex inc.,open monoclonal technology inc.,oxford biotherapeutics ltd.,roche holding ag,scancell holdings plc,seagen inc.,syngene international limited,abbvie biotechnology ltd.,adc therapeutics sa,amgen inc.,biontech se,bristol-myers squibb company,curevac ag,global blood therapeutics inc.,h. lundbeck a/s,horizon therapeutics public limited company,immatics n.v.,,board member,connelly deirdre p.,erenbjerg pernille ,schultz martin ,zachariasse mijke ,hamatani takahiro ,pedersen anders gersel,paoletti paolo ,hoffmann rolf karl-heinz
siemens gamesa renewable energy sa,heavy electrical equipment,bme,zamudio,spain,9379,,,,mersen s.a.,premier limited,romi machine tools ltd.,wilson sporting goods co.,,,,,,,edf belgium sa,electricité de france s.a.,,,,,,,,,,board member,,,,,,,,
stora enso oyj,paper products,hlse,helsinki,finland,21000,sohlstrom hans,parvi seppo,,afry ab,euroclear finland ltd,kopparfors fastigheter ab,pihlajalinna oyj,steveco oy,tornator oy,tornator oyj,zalaris asa,,,innovia films limited,upm-kymmene oyj,,,,,,,,,,board member,jordan kari alpo erik,buskhe hakan ,nilsson richard ,kuehne christiane ,makinen antti ,fleuriot elisabeth ,hedblom helena ,hermann astrid 
safran sa,aerospace and defense,enxtpa,paris,france,83217,andries olivier,bantegnie pascal,70.0,ace capital partners,aero win technology corporation,albany safran composites llc,ati inc.,bet shemesh engines holdings (1997) ltd,corporación inmobiliaria vesta s.a.b. de c.v.,esi group sa,european investment bank,exel industries sa,facc ag,a j walter aviation limited,abc aerolineas s.a. de c.v.,air india limited,airbus helicopters sas,airbus s.a.s.,all nippon helicopter co.ltd.,alstom sa,ana holdings inc.,arianegroup gmbh,aviation industry corporation of chinaltd.,,board member,mcinnes ross ,andries olivier ,cohen monique ,guillot laurent ,aubry marc ,auriol-potier helene ,pelata patrick ,peugeot robert 
ubisoft entertainment sa,interactive home entertainment,enxtpa,saint-mandé,france,20133,guillemot yves,duguet frédérick,,akamai technologies inc.,allied properties real estate investment trust,azerion group n.v.,bidstack group plc,code red esports ltd,d-box technologies inc.,keywords studios plc,micropole s.a.,paysafe limited,punktid technologies as,alliance entertainment holding corporation,d-box technologies inc.,gog ltd,,,,,,,,,board member,guillemot yves ,guillemot claude ,guillemot christian ,guillemot michel ,guillemot gerard ,parkes john ,hubert-moy laurence ,naviner florence 
carlsberg a/s,brewers,cpse,copenhagen,denmark,31000,aarup-andersen jacob,fearn ulrica,,ardagh group s.a.,avantium renewable polymers b.v.,better energy solutions a/s,carlsberg breweries a/s,carlsberg foundation,comarch s.a.,cpmc holdings limited,el-mor electric installation & services (1986) ltd.,electrolux professional ab (publ),grc international group plc,bukit darah plc,carlsberg breweries a/s,carlsberg brewery malaysia berhad,carlsberg foundation,lion brewery (ceylon) plc,simonds farsons cisk plc,,,,,,board member,poulsen henrik ,schultz majken ,burrows richard george william,biner lilian fossum,decker eva vilstrup,aro esko mikael,olesen soren-peter fuchs,lund erik 
aena sme sa,airport services,bme,madrid,spain,8532,lucena betriu maurici,leo vizcaino jose,,adp ingenierie sa,aerocali s.a.,aeropuertos mexicanos del pacifico s.a. de c.v.,autoridad portuaria de ceuta,banco de crédito social cooperativo s.a.,banco de sabadell s.a.,banco santander s.a.,bankinter s.a.,caixabank s.a.,credit agricole cib spain branch,aena sociedad concesionaria del aeropuerto internacional de la region de murcia s.m.e. s.,aerocali s.a.,aeroportos do nordeste do brasil s.a.,aeropuertos mexicanos del pacifico s.a. de c.v.,air europa líneas aéreas s.a.u.,air nostrum lineas aereas del mediterraneo s.a.,binter canarias s.a.,deutsche lufthansa ag,easyjet plc,easyjet switzerland sa,,board member,lucena betriu maurici ,marin san andres francisco javier,terceiro lomba jaime ,lopez seijas amancio ,piquero irene cano,arranz notario pilar ,martínez ortega angélica ,iglesias herraiz leticia 
billerudkorsnas ab (publ),paper and plastic packaging products and materials,om,solna,sweden,6141,vatne ivar,kres andrei,,bergvik skog öst ab,bomhus energi aktiebolag,bsö holding ab,euroclear sweden ab,vattenfall europe ag,,,,,,bergvik skog öst ab,bsö holding ab,holcim ltd,,,,,,,,,board member,svensson jan ,astrom jan ,johansson nicklas ,van camp victoria ,bertilsson per ,heiserer florian ,nicolin magnus r.,aalstad regi 
future plc,publishing,lse,bath,united kingdom,2985,steinberg jonathan,ladkin-brand penelope,,computershare investor services plc,,,,,,,,,,,,,,,,,,,,,board member,huntingford richard norman legh,steinberg jonathan ,newman alan philip stephen,david brooker mark ,drayton hugo charles,hattrell robert john,amdur meredith eve,seymour-jackson angela charlotte
omv ag,integrated oil and gas,wbag,vienna,austria,22271,stern alfred,florey reinhard,,abu dhabi polymers co. ltd (borouge) l.l.c,adnoc global trading ltd.,adnoc trading,altera infrastructure l.p.,borouge plc,borouge pte. ltd.,corinth pipeworks industry pipes societe anonyme,deutsche transalpine oelleitung gmbh,eps ethylen-pipeline-süd gmbh & co. kg,erdöl-lagergesellschaft m.b.h.,abu dhabi national oil company,abu dhabi oil refining company,abu dhabi polymers co. ltd (borouge) l.l.c,adnoc global trading ltd.,adnoc trading,bayport polymers llc,bayport polymers llc,borealis ag,borouge plc,borouge pte. ltd.,,board member,feldmann lutz peter,mazrouei saeed al,hlawati edith ,tumpel-gugerell gertrude ,doboczky stefan ,kuwaiti alyazia ali saleh al,stadler elisabeth ,renard jean-baptiste 
storebrand asa,life and health insurance,ob,lysaker,norway,2161,grefstad odd,loddesol lars,65.0,coor service management holding ab,spp pension & försäkring ab (publ),,,,,,,,,storebrand bank asa,storebrand livsforsikring as,,,,,,,,,,board member,munch didrik oskar,venold terje richard,orgland karin bing,madsen vibeke hammer,pedersen rune j.,skancke martin ,grave hanne seim,salvesen hans-petter 
dechra pharmaceuticals plc,pharmaceuticals,lse,northwich,united kingdom,1998,page ian,sandland paul,,akston biosciences corporation,akston biosciences corporation,animal ethics pty ltd,anivive lifesciences inc.,bank of ireland (uk) plc,bnp paribas sa (uk branch),crédit industriel et commercial london branch,dermcare-vet pty. ltd.,equiniti limited,fifth third bank national association,,,,,,,,,,,,board member,platt alison elizabeth,page ian d.,sandland paul nicholas,griffin anthony gerard,shipsey john francis,gopalan geeta ,macartney lawson ,morrison lisa bright
sonova holding ag,health care equipment,swx,stäfa,switzerland,17608,kaldowski arnd,conix birgit,,bluetooth sig inc.,ceva inc.,diversified healthcare trust,sennheiser electronic gmbh & co. kg,sharecommservice ag,,,,,,,,,,,,,,,,,board member,spoerry robert f.,seng stacy enxing,braunschweiler lukas ,widmer adrian ,bleil lynn dorsey,van der vis w. t. c.,diggelmann roland d.,behar gregory 
yara international asa,fertilizers and agricultural chemicals,ob,oslo,norway,17500,holsether svein tore,giæver thor,60.0,ab svensk exportkredit (publ),international finance corporation,itm power plc,nordic investment bank,sociedad química y minera de chile s.a.,srg global limited,técnicas reunidas s.a.,,,,sociedad química y minera de chile s.a.,,,,,,,,,,,board member,berger trond ,hilland jannicke ,thorstein harald lauritz,sundbo geir olav,bratteberg rune asle,thuestad john gabriel,aspvik eva safrine,hoimyr ragnhild flesland
carl zeiss meditec ag,health care equipment,xtra,jena,germany,4624,weber markus,wehmer justus,,carl zeiss financial services gmbh,coherent corp.,optiscan imaging limited,schott ag,zeiss group,zeiss group,zeiss group,,,,diesel & motor engineering plc,zeiss group,,,,,,,,,,board member,lamprecht karl ,denner rene ,kaschke michael f.,munster christian ,müller christian ,kameritsch peter ,von der goltz tania ,de paoli isabel 
investment ab latour,industrial conglomerates,om,gothenburg,sweden,8519,hjertonsson johan,morck anders,,euroclear sweden ab,,,,,,,,,,,,,,,,,,,,,board member,rosengren joakim ,hjertonsson johan ,douglas eric ,boos anders christier,douglas carl ,linder mariana burenstam,olving lena ,kolsrud ulrika 
tomra systems asa,industrial machinery and supplies and components,ob,asker,norway,5000,andersen tove,sagemo eva,,digimarc corporation,scanfil oyj,tomra production as,zalaris asa,,,,,,,oy tomra ab,tomra butikksystemer as,tomra canada inc,tomra collection france,tomra collection ltd,tomra collection pty ltd,tomra environmental protection technology (xiamen) co. ltd.,tomra leergutsysteme ges.m.b.h.,tomra of north america finance corporation,tomra service ou,,board member,hjertonsson johan ,couderc pierre ,gallon bodil sonesson,matre bjorn ,skryseth hege ,korneliussen kjell ,bergan pauline ,verlo alexander 
intesa sanpaolo spa,diversified banks,bit,turin,italy,94874,messina carlo,del punta stefano,60.0,aubay société anonyme,blackrock advisors (uk) limited,blackrock investment management (uk) limited,covivio,digit'ed,equiter s.p.a,google llc,huawei device co. ltd.,intesa sanpaolo life designated activity company,intesa sanpaolo vita s.p.a.,a2a s.p.a.,abertis infraestructuras s.a.,abu dhabi investment authority,acciaieria arvedi s.p.a.,acerinox s.a.,aeroporto guglielmo marconi di bologna s.p.a.,air products and chemicals inc.,alia servizi ambientali s.p.a.,altaformazione srl,altea green power s.p.a.,,board member,gros-pietro gian maria,messina carlo ,colombo paolo andrea,pomodoro livia ,pisani alberto maria,tagliavini paola ,ceruti franco ,picca bruno 
