Name,ISIN,IQ_COMPANY_ADDRESS,IQ_PRIMARY_INDUSTRY,IQ_EXCHANGE,IQ_CITY,IQ_COUNTRY_NAME,IQ_EMPLOYEES,IQ_CEO_NAME,IQ_CFO_NAME,IQ_SP_LC_LT,Supplier1,Supplier2,Supplier3,Supplier4,Supplier5,Supplier6,Supplier7,Supplier8,Supplier9,Supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
Ferrovial SA,ES0118900010,"Calle Príncipe de Vergara 135, Madrid, Madrid, 28002, Spain",Construction and Engineering,NYSE,Madrid,Spain,24031,"Fernandez, Ignacio","Mozo, Ernesto",BBB,Bowman Consulting Group Ltd.,EMOSS Mobile Systems B.V.,European Bank Limited,"Polan, S.A.",,,,,,,Ags Airports Holdings Limited,Criu SL,Heathrow (SP) Limited,John F. Kennedy International Airport,Lilium N.V.,Ontario Transit Group Inc.,"Polan, S.A.",Société du Grand Paris,Sydney Metro,,,Board Member,"del Pino y Calvo-Sotelo, Rafael ","Fernandez, Ignacio Madridejos","Fanjul Martin, Oscar ","Di Leo, Bruno V. ","de Irujo, Juan Manuel Hoyos Martinez","del Pino y Calvo-Sotelo, Maria ","Mans, Jose Fernando Sanchez-Junco","Bowman, Philip "
Uniper SE,DE000UNSE018,"Holzstrasse 6, Düsseldorf, North Rhine-Westphalia, 40221, Germany",Independent Power Producers and Energy Traders,XTRA,Düsseldorf,Germany,6861,"Lewis, Michael","Donges, Jutta",BBB-,Fortum Oyj,KfW,Plug Power Inc.,Public Joint Stock Company Gazprom,Rothschild & Co SCA,State Oil Company of the Azerbaijan Republic,Tsakos Energy Navigation Limited,"Tubos Reunidos, S.A.",Volue Insight AS,,Deutsche Bahn AG,Fortum Oyj,PAO NOVATEK,Public Joint-Stock Company Unipro,SEFE Securing Energy for Europe GmbH,,,,,,,Board Member,"Blades, Thomas ","Seegatz, Harald ","Zenke, Ines ","Brinker, Werner ","Buss, Judith ","Notini, Magnus ","Kirschner, Diana ","Grzella, Holger "
Hiscox Ltd,BMG4593F1389,"Chesney House, 96 Pitts Bay Road, Pembroke  HM 08, Bermuda",Property and Casualty Insurance,LSE,Pembroke,Bermuda,3000,"Hussain, Hamayou","Cooper, Paul",BBB+,Equiniti (Jersey) Limited,Ondo InsurTech Plc,,,,,,,,,KB Financial Group Inc.,,,,,,,,,,,Board Member,"Bloomer, Jonathan W.","Hussain, Hamayou Akbar","Cooper, Paul David","Musselle, Joanne Riddick","Pike, Lynn Ann","Keogh, Colin Denis","DeMaio, DonnaLee Ann","MacDonald, Anne "
Airbus SE,NL0000235190,"Mendelweg 30, Leiden, Zuid-Holland, 2333 CS, Netherlands",Aerospace and Defense,ENXTPA,Leiden,Netherlands,141799,"Faury, Guillaume","Toepfer, Thomas",A,Ace Capital Partners,AerSale Corporation,Airbus Bank GmbH,Airbus Finance B.V.,Aluminiumwerk Unna AG,"Amprius Technologies, Inc.",Asia Pacific Aircraft Component Services Sdn. Bhd.,Atos SE,AXISCADES Technologies Limited,BlackSky Technology Inc.,AHK Air Hong Kong Limited,Air France-KLM SA,Air New Zealand Limited,Air New Zealand Limited,Aircastle Limited,"Alaska Airlines, Inc.","American Airlines, Inc.",Aviation Capital Group LLC,Avolon Aerospace Leasing Limited,Canada Jetlines Operations Ltd,,Board Member,"Obermann, René Richard","Faury, Guillaume M.J.D","Knittel, C. Jeffrey","Moraleda Martinez, Maria Amparo","Guillouard, Catherine Renee Anne","Clamadieu, Jean-Pierre ","Crosby, Ralph Dozier","Nemat, Claudia "
AXA SA,FR0000120628,"25, avenue Matignon, Paris, Ile-de-France, 75008, France",Multi-line Insurance,ENXTPA,Paris,France,92695,"Buberl, Thomas","de Mailly Nesle, Alban",A+,Al-Dawaa Medical Services Company,AllianceBernstein Holding L.P.,Alphabet Inc.,"Amazon.com, Inc.",Aubay Société Anonyme,Comarch S.A.,Covivio,Emakina Group SA,Infotel SA,IT Link SA,AllianceBernstein L.P.,Bao Minh Insurance Corporation,Crelan SA/NV,Diagnostic and Therapeutic Center of Athens HYGEIA SA,Lion Group Holding Ltd.,Oman Qatar Insurance Company SAOG,Reliance Insurance Limited,"The Travelers Companies, Inc.",TPL Life Insurance Limited,W. R. Berkley Corporation,,Board Member,"Gosset-Grainville, Antoine ","Buberl, Thomas ","Bébéar, Claude ","Browne, Helen ","Morelli, Marco ","Hudson, Isabel Frances","Fernandez, Ramon ","Faury, Guillaume M.J.D"
Compass Group PLC,GB00BD6K4575,"Compass House, Guildford Street, Chertsey, Surrey, KT16 9BQ, United Kingdom",Restaurants,LSE,Chertsey,United Kingdom,500000,"Blakemore, Dominic","Brown, Charles",A,BCMGlobal London Limited,Greggs plc,Link Market Services Limited,Office Properties Income Trust,Tortilla Mexican Grill plc,,,,,,,,,,,,,,,,,Board Member,"Meakins, Ian K.","Blakemore, Dominic ","Brown, Charles Palmer","Green, Gary R.","Nesmes, Anne-Francoise ","Bryant, John A.","Arrowsmith, Carol ","Vittal, Ireena "
ASR Nederland NV,NL0011872643,"Archimedeslaan 10, Utrecht, Utrecht, 3584 BA, Netherlands",Multi-line Insurance,ENXTAM,Utrecht,Netherlands,5063,"Baeten, Jos P.","Hollegien, Ewout",BBB+,Legal & General Reinsurance Company Limited,,,,,,,,,,ASN Bank NV,,,,,,,,,,,Board Member,"Wijn, Joannes Gerardus","Hintzen, Herman C.","Barendregt-Roojers, Sonja ","van Vollenhoven, Gisella ","van Olphen, Gerard ","Heijtmajer, Danielle Jansen","Friese, E. ",
TAG Immobilien AG,DE0008303504,"Steckelhörn 5, Hamburg, Hamburg, 20457, Germany",Real Estate Operating Companies,XTRA,Hamburg,Germany,1834,,"Thiel, Martin",BBB-,Cbre Gmbh (Germany),,,,,,,,,,TAG Colonia-Immobilien AG,,,,,,,,,,,Board Member,"Borkers, Olaf G.","Wagner, Philipp K.","Ristow, Lutz R.","Wellner, Kristin ","Eifler, Björn ","Schulz, Beate ",,
Deutsche Boerse AG,DE0005810055,"Mergenthalerallee 61, Eschborn, Hessen, 65760, Germany",Financial Exchanges and Data,XTRA,Eschborn,Germany,11508,"Weimer, Theodor","Pottmeyer, Gregor",AA-,EQS Group AG,,,,,,,,,,,,,,,,,,,,,Board Member,"Jetter, Martin ","Beck, Markus ","Lambert, Barbara ","Gottschling, Andreas Peter","Absenger, Nadine Brandl","Karle, Achim ","Just-Marx, Susann ","Stonehill, Charles G.T."
BP PLC,GB0007980591,"1 St James's Square, London, Greater London, SW1Y 4PD, United Kingdom",Integrated Oil and Gas,LSE,London,United Kingdom,67600,"Auchincloss, Murray","Thomson, Katherine",A-,Abraj Energy Services SAOG,Aker Carbon Capture ASA,"Alon Refining Krotz Springs, Inc.",Altera Infrastructure L.P.,Ardmore Shipping Corporation,Aurizon Holdings Limited,BAM Infra Energie & Water Zuid bv,Bonheur ASA,BP Finance p.l.c.,BP International Limited,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis","Ahtna, Incorporated",Arko Corp.,Azerbaijan International Operating Company,Beach Energy Limited,CrossAmerica Partners LP,DCC plc,DCC Retail & Oil Limited,EFR Group BV,ENN Group International Investment Limited,,Board Member,"Lund, Helge ","Auchincloss, Murray ","Reynolds, Paula G. Rosput","Meyer, Melody Boone","Morzaria, Tushar ","Sawers, John ","Daley, Pamela ","Teyssen, Johannes A."
