Name,ISIN,IQ_COMPANY_ADDRESS,IQ_PRIMARY_INDUSTRY,IQ_EXCHANGE,IQ_CITY,IQ_COUNTRY_NAME,IQ_EMPLOYEES,IQ_CEO_NAME,IQ_CFO_NAME,IQ_SP_LC_LT,Supplier1,Supplier2,Supplier3,Supplier4,Supplier5,Supplier6,Supplier7,Supplier8,Supplier9,Supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
Knorr Bremse AG,DE000KBX1006,"Moosacher Strasse 80, Munich, Bavaria, 80809, Germany",Construction Machinery and Heavy Transportation Equipment,XTRA,Munich,Germany,32908,"Llistosella Y Bischoff, Marc","Weber, Frank",A-,ABB India Limited,"Chelyabinsk Forge-and-Press Plant, Public Joint Stock Company","Grupo Industrial Saltillo, S.A.B. de C.V.",Kongsberg Automotive ASA,LPA Group Plc,Opes Business Park Am Oberwiesenfeld Gmbh,Precision Camshafts Limited,Scholt Energy B.V.,Stella Vermögensverwaltungs Gmbh,Stella Vermögensverwaltungs Gmbh,Alstom SA,Bombardier Inc.,"Dongfeng Motor Co., Ltd.",Ebusco Holding N.V.,"Hitachi, Ltd.",Indian Railways,IVECO S.p.A.,Siemens Corporation,Stella Vermögensverwaltungs Gmbh,Tye Soon Limited,,Board Member,"Ploss, Reinhard ","Birkeneder, Franz-Josef ","Weimer, Theodor ","Dahnke, Kathrin Elisabeth","Ratzisberger, Werner ","Starkl, Erich ","Jell, Michael ","Thiele-Schurhoff, Julia "
Indutrade AB,SE0001515552,"Raseborgsgatan 9, Kista, Stockholm County, 164 74, Sweden",Industrial Machinery and Supplies and Components,OM,Kista,Sweden,9283,"Annvik, Bo","Johnson, Patrik",BBB-,,,,,,,,,,,,,,,,,,,,,,Board Member,"Martinson, Katarina ","Annvik, Bo ","Lundahl, Ulf ","Mellvé, Krister Gert","Pettersson, Lars ","Campbell, Susanna ","Jernhall, Anders ","Lindell, Kerstin "
Erste Group Bank AG,AT0000652011,"Am Belvedere 1, Vienna, Vienna, 1100, Austria",Diversified Banks,WBAG,Vienna,Austria,45667,"Cernko, Willibald","Dorfler, Stefan",A+,Vienna Insurance Group AG,,,,,,,,,,Accipiens S.A.,Aluflexpack AG,Anima Specialty Medical Services SRL,ARENA FRANZ Ferdinand GmbH,Badea Medical SRL,Bahtco Invest S.A.,Black Sea Vision SRL,Bunge Finance Europe B.V.,CED Pharma SRL,Centrul medical Micromedica SRL,,Board Member,"Rödler, Friedrich ","Senger-Weiss, Elisabeth Krainer","Hardegg, Maximilian ","Flatz, Alois ","Catasta, Christine ","Zeisel, Karin ","Lachs, Andreas ","Haag, Markus "
Danske Bank A/S,DK0010274414,"Holmens Kanal 2-12, Copenhagen-K, Copenhagen, Capital Region of Denmark, 1092, Denmark",Diversified Banks,CPSE,Copenhagen,Denmark,21339,"Egeriis, Carsten","Engels, Stephan",A+,Apple Inc.,Google LLC,Hufvudstaden AB (publ),Kainos Group plc,Nexi S.p.A.,Realkredit Danmark A/S,Realkredit Danmark A/S,Tryg A/S,Windward Ltd.,,AbSorber AB,Agillic A/S,Aktieselskabet Schouw & Co.,AKVA group ASA,Alleima AB (publ),Arrow Asia Pac Ltd.,Arrow Central Europe GmbH,Arrow Electronics (CI) Ltd.,"Arrow Electronics, Inc.",B.V. Arrow Electronics DLC,,Board Member,"Blessing, Martin ","Nielsen, Jan Thorsgaard","Sergeant, Carol Frances","Brenoe, Lars-Erik ","Hankonen-Nybom, Raija-Leena ","Aagaard-Svendsen, Birgit ","Scheibye, Sten ","Westlie, Trond Ødegård"
Kingfisher PLC,GB0033195214,"One Paddington Square, London, Greater London, W2 1GG, United Kingdom",Home Improvement Retail,LSE,London,United Kingdom,77701,"Garnier, Thierry Dominique","Bot, Bernard",BBB,B&B Triplewall Containers Limited,British Land Company Plc,Computershare Investor Services PLC,G City Ltd,GitLab Inc.,Groupe CRIT SA,"Hangzhou Greatstar Industrial Co., Ltd",ID Logistics Group SA,Thermador Groupe SA,,CREALFI,Kingfisher Pension Scheme,,,,,,,,,,Board Member,"Cosslett, Andrew ","Garnier, Thierry Dominique Gerard","Bot, Bernard Ladislas","Uren, Sally ","Arney, Claudia Isobel","Carr, Jeffrey ","Bradley, Catherine-Annick ","Goss-Custard, Rakhi "
ACS Actividades de Construccion y Servicios SA,ES0167050915,"Avenida de Pio XII, 102, Madrid, Madrid, 28036, Spain",Construction and Engineering,BME,Madrid,Spain,132118,"Cases, Juan",,BBB-,"Banco de Sabadell, S.A.","Fidalser, S.L.",,,,,,,,,Celtic Roads Group (PortLaoise) Limited,High Speed Two (HS2) Limited,Ontario Infrastructure and Lands Corporation,"Road Management (A13), Plc",,,,,,,,Board Member,"Pérez Rodríguez, Florentino ","Cases, Juan Santamaria","Lopez Jimenez, Pedro Jose","del Valle Perez, Jose-Luis ","Davoren, Peter J.","Valderas Martínez, Adolfo ","Haltiwanger, Nuria ","Botella García, Antonio "
Christian Dior SE,FR0000130403,"30 avenue Montaigne, Paris, Ile-de-France, 75008, France","Apparel, Accessories and Luxury Goods",ENXTPA,Paris,France,161888,"Arnault, Antoine","Ollivier, Florian",,Activation Group Holdings Limited,Agache SE,Agache SE,Artnet AG,CapitaLand Malaysia Trust,Depa PLC,Diageo plc,Groupe MEDIA 6,Hang Lung Group Limited,Hang Lung Properties Limited,Agache SE,Agache SE,Agache SE,Douglas GmbH,Dufry AG,"JD.com, Inc.",,,,,,Board Member,"Arnault, Bernard ","Arnault, Antoine ","de Labriffe, Christian ","Desmarais, Helene ","de Marichalar y Saenz de Tejada, Jaime ","de Vabres, Renaud Donnedieu","Gallienne-Frere, Segolene ","Gancia, Delphine Arnault"
DS Smith PLC,GB0008220112,"1 Paddington Square, Level 3, London, Greater London, W2 1DL, United Kingdom",Paper and Plastic Packaging Products and Materials,LSE,London,United Kingdom,29519,"Roberts, Miles","Pike, Richard",BBB-,abrdn European Logistics Income plc,Equiniti Limited,,,,,,,,,"LIDL, SNC",,,,,,,,,,,Board Member,"Drabble, Geoffrey ","Roberts, Miles William","Pike, Richard Neil","Robbie, David ","Baxter, Celia Frances","Smalley, Louise Helen","Kessel, Alina ","Johnson, Alan "
Muenchener Rueckversicherungs Gesellschaft in Muenchen AG,DE0008430026,"KOeniginstrasse 107, Munich, Bavaria, 80802, Germany",Reinsurance,XTRA,Munich,Germany,42061,"Wenning, Joachim","Jurecka, Christoph",AA-,"Disco Parent, Inc.",Eolus Vind AB (publ),Flughafen München GmbH,HDFC ERGO General Insurance Company Limited,MEAG MUNICH ERGO Asset Management GmbH,PT Panin Financial Tbk,PT Paninvest Tbk,SPIE GmbH,"Verisk Analytics, Inc.",,AA Limited,Aditya Birla Sun Life Insurance Company Limited,Admiral Group plc,Aljazira Takaful Taawuni Company,Arpico Insurance PLC,AXA Mansard Insurance Plc,"Brighthouse Financial, Inc.","China Life Insurance Co., Ltd.",China Life Insurance Company Limited,"China Pacific Insurance (Group) Co., Ltd.",,Board Member,"von Bomhard, Nikolaus ","Horstmann, Anne ","Schinzler, Hans-Jürgen ","Achleitner, Ann-Kristin ","Zimmerer, Maximilian ","Booth, Clement Burns","Fassin, Frank ","Gather, Ursula "
Close Brothers Group PLC,GB0007668071,"10 Crown Place, London, Greater London, EC2A 4FT, United Kingdom",Diversified Banks,LSE,London,United Kingdom,4080,"Sainsbury, Adrian","Morgan, Michael",,Link Group Limited,,,,,,,,,,abrdn plc,Aviva plc,Journeo plc,Moneybox Corp. Ltd.,Novia Financial plc,Pacific Green Technologies Inc.,Wealth at Work Limited,Wealthify Group Limited,,,,Board Member,"Biggs, Michael Nicholas","Sainsbury, Adrian John","Morgan, Michael Bartlett","Corbett, Oliver Roebling Panton","Halliday, Patricia Marie","Graham, Tracey ","Pain, Mark Andrew","Duffy, Peter Bernard"
AUTO1 Group SE,DE000A2LQ884,"Bergmannstrasse 72, Berlin, Berlin, 10961, Germany",Automotive Retail,XTRA,Berlin,Germany,5488,"Bertermann, Christian","Boser, Markus",,Auto1 Funding B.V.,,,,,,,,,,,,,,,,,,,,,Board Member,"Cromme, Gerhard ","Koc, Hakan ","Hausler, Gerd Rolf","Henner Santelmann, Lars ","Naheta, Akshay ","von Specht, Sylvie Mutschler","Momboisse, Martine Gorce",
Volkswagen AG,DE0007664039,"Berliner Ring 2, Wolfsburg, Lower Saxony, 38440, Germany",Automobile Manufacturers,XTRA,Wolfsburg,Germany,675880,"Blume, Oliver","Antlitz, Arno",BBB+,AA Limited,AD Plastik d.d.,Adient plc,Aeroports de Paris SA,Alicon Castalloy Limited,Alumetal S.A.,Apollo Tyres Limited,AUDI AG,AUDI AG,Audix Corporation,Abuja (capital) Motors Limited,"Asbury Automotive Group, Inc.",AUDI AG,Audi Singapore Pte. Ltd.,Audi Volkswagen Korea Ltd.,Audi Volkswagen Middle East FZE,Automobile Central Enterprise Inc.,"AutoNation, Inc.",Autosports Group Limited,"Avis Budget Group, Inc.",,Board Member,"Potsch, Hans Dieter","Hofmann, Jörg ","Al-Mahmoud, Mansoor Ebrahim","Cavallo, Daniela ","Mosch, Peter ","Porsche, Wolfgang ","Porsche, Ferdinand Oliver","Piech, Hans Michel"
HeidelbergCement AG,DE0006047004,"Berliner Strasse 6, Heidelberg, Baden-Württemberg, 69120, Germany",Construction Materials,XTRA,Heidelberg,Germany,51492,"von Achten, Dominik","Aldach, René",BBB,ATOSS Software AG,Epiroc AB (publ),HeidelbergCement Finance Luxembourg S.A.,HeidelbergCement India Limited,KfW,PHOENIX Pharmahandel GmbH & Co KG,SIS Limited,,,,Akçansa Çimento Sanayi ve Ticaret Anonim Sirketi,HeidelbergCement Bangladesh Limited,HeidelbergCement India Limited,PHOENIX Pharmahandel GmbH & Co KG,PT Indocement Tunggal Prakarsa Tbk,Tanzania Portland Cement Public Limited Company,Vassiliko Cement Works Public Company Ltd,,,,,Board Member,"Scheifele, Bernd ","Schmitt, Heinz ","Merckle, Ludwig ","Weissenberger-Eibl, Marion A.","Mucic, Luka ","Vanfrachem, Paul ","Platschorre, Marinus ","Merceron-Vicat, Jacques "
Infineon Technologies AG,DE0006231004,"Am Campeon 1-15, Neubiberg, Bavaria, 85579, Germany",Semiconductors,XTRA,Neubiberg,Germany,57888,"Hanebeck, Jochen","Schneider, Sven",BBB,Arm Holdings plc,BE Semiconductor Industries N.V.,Cirtek Electronics Corporation,Coherent Corp.,GLOBALFOUNDRIES Inc.,Magnachip Semiconductor Corporation,"MK Electron Co., Ltd.",Rambus Inc.,Siltronic AG,"Skywater Technology Foundry, Inc.","ASE Technology Holding Co., Ltd.","Delta Capital Management, LLC",Focus Universal Inc.,Magnachip Semiconductor Corporation,Sentry Enterprises Limited,"SolarEdge Technologies, Inc.","Weikeng Industrial Co., Ltd.",WPG Holdings Limited,Zenitron Corporation,,,Board Member,"Diess, Herbert ","Dechant, Johann ","Gruber, Peter ","Eichiner, Friedrich ","Puffer, Manfred ","Scholz, Jurgen ","Lachenmann, Susanne ","Engelfried, Annette "
Royal Unibrew A/S,DK0060634707,"Faxe AllE 1, Faxe, Zealand Region, 4640, Denmark",Brewers,CPSE,Faxe,Denmark,3600,"Jensen, Lars","Vestergaard, Lars",,Diageo plc,Heineken International B.V.,"PepsiCo, Inc.",Relesys A/S,,,,,,,Carib Glassworks Ltd,"PepsiCo, Inc.",,,,,,,,,,Board Member,"Ruzicka, Peter Arne","Valeur, Jais Stampe","Alsø, Martin ","Kaersgaard, Claus ","Sagild, Christian ","Nielsen, Michael ","Kleinbach-Sauter, Heidi ","Von Stackelberg-Hammarén, Catharina "
Qiagen NV,NL0012169213,"Hulsterweg 82, Venlo, Limburg, 5912 PL, Netherlands",Life Sciences Tools and Services,NYSE,Venlo,Netherlands,6100,"Bernard, Thierry","Sackers, Roland",,"AvePoint, Inc.","Equiniti Trust Company, LLC,",MDxHealth SA,Tata Consultancy Services Limited,,,,,,,Ascendis Health Limited,"CareDx, Inc",Ilex Medical Ltd,"Interpace Biosciences, Inc.",Invitae Corporation,"OpGen, Inc.",United States,,,,,Board Member,"Rosen, Lawrence A.","Tallett, Elizabeth Edith","Levine, Ross L.","Haag, Toralf A.","Colpan, Metin ","Mardis, Elaine R.","Kaspar, Peter Klaus","Nordmann, Patrice "
Industria de Diseno Textil SA,ES0148396007,"Edificio Inditex, Avenida de la Diputación s/n, Arteixo, A Coruña, Galicia, 15143, Spain",Apparel Retail,BME,A Coruña,Spain,116075,"Maceiras, Oscar","Izuzquiza Fernández, Ignacio",,Arvind Limited,British Land Company Plc,Brookfield Property REIT Inc.,Çal'k Denim Tekstil San. ve Tic. A',"Callisons, Inc.",Carmila S.A.,Clipper Logistics plc,Coats Group plc,"Couchbase, Inc.",Delta Galil Industries Ltd.,Apranga Hlv SIA,Apranga Mlv Sia,Ou Apranga Bee,Ou Apranga Estonia,OU Apranga HEST,OU Apranga MDE,OU Apranga PB Trade,Ou Apranga St Retail,PG p.l.c.,Prima Buana Perkasa Vietnam Co. Ltd,,Board Member,"Perez, Marta Ortega","Maceiras, Oscar Garcia","Arnau Sierra, José ","Echenique Gordillo, Rodrigo ","Durán Schulz, Jose Luis","Kingsmill, Denise Patricia ","López Álvarez, Pilar ","Ortega Gaona, Amancio "
Adecco Group AG,CH0012138605,"Bellerivestrasse 30, Zurich, Zurich, 8008, Switzerland",Human Resource and Employment Services,SWX,Zurich,Switzerland,39000,"Machuel, Denis","Williams, Coram",BBB+,Bank Of New York Mellon Sa/Nv (Luxembourg Branch),"DHI Group, Inc.",,,,,,,,,AwanBiru Technology Berhad,,,,,,,,,,,Board Member,"Deslarzes, Jean-Christophe ","Taylor, Kathleen P.","Gut, Alexander ","Lamouche, Didier R.","Wallimann, Regula ","Prince, David Norman ","Gorin, Ariane ","Duan, Rachel "
Abrdn PLC,GB00BF8Q6K64,"1 George Street, Edinburgh  EH2 2LL, United Kingdom",Asset Management and Custody Banks,LSE,Edinburgh,United Kingdom,5130,"Bird, Stephen","Jenkins, Ian",BBB+,Close Brothers Group plc,Equiniti Group Limited,Glassbox Ltd,,,,,,,,Phoenix Group Holdings plc,,,,,,,,,,,Board Member,"Flint, Douglas Jardine","Bird, Stephen ","Devine, John ","Asquith, Jonathan Paul","Bradley, Catherine-Annick ","Raffaeli, Carolyn Cathleen","Grove, Hannah M.","O'Brien, Michael Frederick"
Iss A/S,DK0060542181,"Buddingevej 197, Søborg, Capital Region of Denmark, 2860, Denmark",Diversified Support Services,CPSE,Søborg,Denmark,305593,"Fangel, Kasper","HÃ¸jlund, Carsten",BBB-,Techstep ASA,,,,,,,,,,Barclays Bank PLC,Chile,Deutsche Telekom AG,Estonia,Hewlett Packard Enterprise Company,"Slovenské elektrárne, a.s.",Whirlpool do Brasil Ltda.,,,,,Board Member,"Smedegaard, Niels ","Petersson, Lars Johan","Benborg, Pernille ","Elboayadi, Nada ","Adamsen, Signe ","Blankensteiner, Janek ","Stevens, John Benedict","Kuhn, Kelly L."
Sandvik AB,SE0000667891,"Kungsbron 1, Sektion G, plan 6, Stockholm, Stockholm County, 111 22, Sweden",Industrial Machinery and Supplies and Components,OM,Stockholm,Sweden,40882,"Widing, Stefan","Felton, Cecilia",A-,Alleima AB (publ),Cavotec SA,Coor Service Management Holding AB,Dana Incorporated,Euroclear Sweden AB,"Jinlei Technology Co., Ltd.",LaserBond Limited,OEM International AB (publ),Prevas AB,Systemair AB (publ),Alleima AB (publ),BHP Group (UK) Ltd,Corporación Nacional del Cobre de Chile,Emeco Pty Limited,Ferronordic AB (publ),Foran Mining Corporation,Indian Oil Corporation Limited,"JCHX Mining Management Co.,Ltd.",New Gold Inc.,Rana Gruber ASA,,Board Member,"Molin, Johan ","Widing, Stefan ","Barnevik, Percy N.","Boustedt, Claes ","Andersson, Thomas ","Allerton, Jennifer M.","Stjernholm, Helena ","Lilja, Thomas "
Equinor ASA,NO0010096985,"Forusbeen 50, Stavanger, Rogaland, 4035, Norway",Integrated Oil and Gas,OB,Stavanger,Norway,21936,"Opedal, Anders","Reitan, Torgrim",AA-,A/S Norske Shell,AET Inc. Limited,AF Anlegg,AF Gruppen ASA,Aibel AS,Akakus Oil Operations AG,Aker BP ASA,Aker Solutions ASA,Alpine Group Partners LLC,Altera Infrastructure L.P.,AB Ignitis grupe,Aker BP ASA,ConocoPhillips,DCC LPG Limited,DCC Retail & Oil Limited,EnBW Energie Baden-Württemberg AG,Equinor Energy AS,Equinor Marketing & Trading (US) Inc.,"Galp Energia, SGPS, S.A.",Gassco As,,Board Member,"Erik Reinhardsen, Jon ","Drinkwater, Anne ","Roth, Jarle ","Lewis, Jonathan ","Bastiansen, Nils Halvard","Laegreid, Stig ","Herlofsen, Rebekka Glasser","Labraten, Per Martin"
ING Groep NV,NL0011821202,"Bijlmerdreef 106, Amsterdam, Noord-Holland, 1102 CT, Netherlands",Diversified Banks,ENXTAM,Amsterdam,Netherlands,59000,"van Rijswijk, Steven J.","Phutrakul, Tanate",A-,Apple Pay Limited,Comp S.A.,Emakina Group SA,Euronext N.V.,Evolution Mining Limited,"Global Net Lease Operating Partnership, L.P.",Maintel Holdings Plc,"Raonsecure Co., Ltd.",SC Practic SA,SIS Limited,AB Sagax (publ),Befimmo SA,"DHT Holdings, Inc.",Diagnostic and Therapeutic Center of Athens HYGEIA SA,Eurocommercial Properties N.V.,Home Invest Belgium S.A.,Immsi S.p.A.,ING Bank N.V.,Koninklijke Heijmans N.V.,Korea Gas Corporation,,Board Member,"Guha, Karl K.","Rees, Alun Michael Guest","Haase, Margarete ","Verhagen, Hendrika W. P. M. A.","van den Bergh, Lodewijk J. Hijmans","Naus, Harold H. J. G.","Hulst, Herman A. H.","Calafat, Juan Colombas"
Straumann Holding AG,CH0012280076,"Peter Merian-Weg 12, Basel, Basel-Stadt, 4002, Switzerland",Health Care Equipment,SWX,Basel,Switzerland,10543,"Daniellot, Guillaume","Xu, Yang",,3Shape A/S,Amann Girrbach AG,"Carestream Health, Inc.",International Team For Implantology,Medartis AG,MEDIT corp.,Nano Intelligent Biomedical Engineering Corporation,Zirkonzahn USA Inc,,,International Team for Implantology (Korea),,,,,,,,,,,Board Member,"Achermann, Gilbert ","Rumpf, Petra ","Gadola, Marco ","Straumann, Thomas ","Wallimann, Regula ","Gonzalez, Juan-José ","Schmidt, Nadia Tarolli","Filliol, Olivier A."
EDP Energias de Portugal SA,PTEDP0AM0009,"Avenida 24 de Julho 12, 4th Floor, Lisbon, Lisbon, 1249-300, Portugal",Electric Utilities,ENXTLS,Lisbon,Portugal,13323,"de Andrade, Miguel","Teixeira, Rui Manuel Rodrigues",BBB,ACE Italy S.A.R.L.,ACE Poland S.A.R.L.,ACE Portugal Sàrl,EDP - Energias do Brasil S.A.,"EDP España, SA",EDP Finance B.V.,EDP Pension Fund,"EDP Renováveis, S.A.",Mediobanca Banca di Credito Finanziario S.p.A.,"REN - Redes Energéticas Nacionais, SGPS, S.A.",Cementos Tudela Veguín S.A.,"EDP - Gestão da Produção de Energia, S.A.","EDP Distribuição - Energia, S.A.",EDP Finance B.V.,"EDP Renováveis, S.A.",Forvia SE,Gerresheimer Zaragoza S.A.,"Liberbank, S.A.","NOS, S.G.P.S., S.A.",OW FS Offshore SA,,Board Member,"de Andrade, Miguel Stilwell","Teixeira, Rui Manuel Rodrigues Lopes","Pereira, Maria Teresa Isabel","Ramalho de Carvalho Talone, Joao Luis","Viegas, José Manuel Care Baptista","Leite, Miguel Espregueira Mendes Pereira","Neves, João Carlos Carvalho Das","Ferreira Setas, Miguel Nuno Simões Nunes"
Siemens Healthineers AG,DE000SHL1006,"Henkestrasse 127, Erlangen, Bavaria, 91052, Germany",Health Care Equipment,XTRA,Erlangen,Germany,70800,"Montag, Bernhard","Schmitz, Jochen",,Atos SE,"AvePoint, Inc.",Bioventix PLC,"ClearPoint Neuro, Inc.",Mentice AB (publ),Perspectum Group plc,Proscia Inc.,Siemens Aktiengesellschaft,Siemens Finance B.V.,SyntheticMR AB (publ),Medilines Distributors Incorporated,Mentice AB (publ),SYNLAB AG,,,,,,,,,Board Member,"Peter Thomas, Ralf ","Gaus, Norbert ","Streibich, Karl-Heinz ","Helmes, Marion ","Busch, Roland ","Schatz, Peer Michael","Hoffmann, Andreas Christian","Sorensen, Gregory "
Atlas Copco AB,SE0011166610,"Sickla Industriväg 19, Nacka, Stockholm County, 13154, Sweden",Industrial Machinery and Supplies and Components,OM,Nacka,Sweden,51363,"Rahmström, Mats","Kinnart, Peter",A+,Atrium Ljungberg AB (publ),BTS Group AB (publ),Cavotec SA,European Investment Bank,HiQ International AB (publ),Master Components Limited,Prevas AB,"SNT Energy Co., Ltd.",Tomlinson Energy Service Pty Limited,,,,,,,,,,,,,Board Member,"Straberg, Hans ","Rahmström, Mats ","Ohlsson-Leijon, Anna ","Bergstedt, Mikael ","Forssell, Johan ","Wallenberg, Peter ","Larsson, Benny ","Riske, Gordon "
Johnson Matthey PLC,GB00BZ4BQC70,"25 Farringdon Street, 5th Floor, London, Greater London, EC4A 4AB, United Kingdom",Specialty Chemicals,LSE,London,United Kingdom,12638,"Condon, Liam","Oxley, Stephen",,"Coeur Mining, Inc.","Datang Environment Industry Group Co., Ltd.",Equiniti Limited,KfW,Manila Mining Corporation,Neo Performance Materials Inc.,,,,,Dialog Group Berhad,"Intensity Therapeutics, Inc.",Mercedes-Benz AG,"SCI Engineered Materials, Inc.",Solar Applied Materials Technology Corporation,,,,,,,Board Member,"Thomas, Patrick W.","Oxley, Stephen Richard","Mottershead, Christopher ","Webb, Doug R.","Jeremiah, Barbara S.","Griffiths, Jane Veronica","O'Higgins, John E.","Liu, Xiaozhi "
Volvo AB,SE0000115446,"GropegArdsgatan 2, Gothenburg, Västra Götaland County, 417 15, Sweden",Construction Machinery and Heavy Transportation Equipment,OM,Gothenburg,Sweden,88834,"Lundstedt, Martin","Backman, Mats",A,Absolent Air Care Group AB (publ),ACTIA Automotive SA,Addnode Group AB (publ),Adient plc,Alicon Castalloy Limited,AQ Group AB (publ),Arnold Worldwide LLC,Asahi India Glass Limited,Atmus Filtration Technologies Inc.,Atrium Ljungberg AB (publ),Alta Equipment Group Inc.,"Asbury Automotive Group, Inc.",AutoCanada Inc.,"AutoNation, Inc.",Autosports Group Limited,BetterLife Holding Limited,Bilia AB (publ),Brisbane BMW Unit Trust,Caffyns plc,Cambria Automobiles Limited,,Board Member,"Svanberg, Carl-Henric ","Lundstedt, Martin ","Vikner, Paul L.","Elzvik, Eric A.","Ask, Lars ","Alahuhta, Matti ","Marinello, Kathryn Vanstrom","Merz, Martina "
Simcorp A/S,DK0060495240,"Weidekampsgade 16, Copenhagen S, Copenhagen, Capital Region of Denmark, 2300, Denmark",Application Software,CPSE,Copenhagen,Denmark,2456,"Kromann, Christian","Bjergby, Michael",,Impero A/S,Microsoft Corporation,,,,,,,,,"Danske Bank A/S, Asset Management Arm",GAM Investment Management (Switzerland) AG,,,,,,,,,,Board Member,"Schütze, Peter ","Hubbe, Morten ","Jeffreys, Simon John Lewis","Warby, Adam H.","Standiford, Susan ","Klausen, Charlotte Sondergaard","Rinke, Sven ","Cook, Neil "
Bachem Holding AG,CH0012530207,"Hauptstrasse 144, Bubendorf, Basel-Landschaft, 4416, Switzerland",Life Sciences Tools and Services,NYSE,Bubendorf,Switzerland,1926,"Meier, Thomas","Schaffter, Alain",,Breiten Immobilien Ag,,,,,,,,,,Ascendis Pharma A/S,Breiten Immobilien Ag,Chemoforma Ltd.,Mymetics Corporation,,,,,,,,Board Member,"Sommer, Kuno ","Hotzer, Nicole Grogg","Grogg, Peter ","Wennemers, Helma ","Fassler, Alex ","Lang, Steffen ",,
HomeServe PLC,GB00BYYTFB60,"Cable Drive, Walsall, West Midlands, WS2 7BN, United Kingdom",Diversified Support Services,LSE,Walsall,United Kingdom,9000,"Harpin, Richard",,,Centreline AV Limited,Computershare Investor Services PLC,Harpin SA,,,,,,,,Ondo InsurTech Plc,,,,,,,,,,,Board Member,"Breen, Tommy ","Harpin, Richard David","Clemmow, Ross ","Cliffe, Katrina Jane","McMillan, Ronald Thomas","Fitzmaurice, Edward ","Bower, David ","Rusin, Thomas J."
Holmen AB,SE0011090018,"Strandvägen 1, Stockholm, Stockholm County, 114 51, Sweden",Paper Products,OM,Stockholm,Sweden,3500,"Sjolund, Henrik","Jernhall, Anders",BBB+,Fastighets AB L E Lundberg,Harrsele Ab,Valmet Oyj,,,,,,,,,,,,,,,,,,,Board Member,"Lundberg, Fredrik ","Sjolund, Henrik ","Lundahl, Ulf ","Kempe, Alice ","Lindh, Eva Louise Katarina","Zeuchner, Henriette ","Josefsson, Lars O.","Persson, Fredrik "
Klepierre SA,FR0000121964,"26 boulevard des Capucines, Paris, Ile-de-France, 75009, France",Retail REITs,ENXTPA,Paris,France,1026,"Jestin, Jean-Marc","Tortajada, Stephane",BBB+,BNP Paribas Real Estate SAS,"CBRE Group, Inc.","Cushman & Wakefield, Inc.",Jones Lang LaSalle Services SAS,Umanis SA,,,,,,adidas AG,Albert Heijn B.V.,"Bershka BSK España, S.A.",BESTSELLER A/S,Buffalo Grill S.A.,"Calvin Klein, Inc.",Calzedonia S.p.A.,"Caribbean Restaurants, LLC",Deichmann SE,Delcy,,Board Member,"Simon, David E.","de Clermont-Tonnerre, Beatrice ","Fivel, Steven E.","Simoni, Catherine ","Carrafiell, John Anthony","Van Lerberghe, Rose-Marie ","Shashoua, Stanley ","von Erb, Florence "
Unibail-Rodamco-Westfield SE,FR0013326246,"7 Place du Chancelier Adenauer, CS 31622, Paris, Ile-de-France, 75016, France",Retail REITs,ENXTPA,Paris,France,2615,"Tritant, Jean-Marie","Mouchel, Fabrice",BBB+,Aeroports de Paris SA,Artefact SA,Clear Channel France SA,"Cushman & Wakefield, Inc.","Deerfield Duff & Phelps, LLC",IT Link SA,Jones Lang LaSalle Incorporated,Mitie Group plc,Ocean Outdoor Limited,PricewaterhouseCoopers LLP,Accor SA,adidas AG,ageas SA/NV,ÅHlÉNs Ab,Albert Heijn B.V.,"Allbirds, Inc.","Amazon.com, Inc.","AMC Entertainment Holdings, Inc.",APEC Limited,Apple Inc.,,Board Member,"Richier, Jacques Blaise","Cabanis, Cecile ","Munsters, Roderick Marie Stella Maris","Dessolain, Michel ","Sylla-Walbaum, Aline ","Kollmann, Dagmar P.","Niel, Xavier Bruno","Gallardo Torrededia, Susana "
Reply SpA,IT0005282865,"Corso Francia, 110, Turin, Turin, 10143, Italy",IT Consulting and Other Services,BIT,Turin,Italy,14307,,"Angelucci, Daniele",,Intesa Sanpaolo S.p.A.,SanPaolo IMI S.p.A.,UniCredit S.p.A.,,,,,,,,Agenzia Delle Entrate,Anas S.p.A.,Arma dei Carabinieri Srl,Azimut Holding S.p.A.,Breed Reply Investments Limited,BuyerLink LLC,Centro Per Gli Studi Di Tecnica Navale Cetena SpA,Core Reply S.r.l,"Elgin National Industries, Inc.",Hermes Reply Polska Sp Zoo,,Board Member,"Rizzante, Mario ","Rizzante, Tatiana ","Angelucci, Daniele ","Rizzante, Filippo ","Previtera, Maria Elena","Cusinato, Marco ","Polliotto, Patrizia ","Di Carluccio, Ciro "
voestalpine AG,AT0000937503,"voestalpine-Strasse 1, Linz, Upper Austria, 4020, Austria",Steel,WBAG,Linz,Austria,51164,"Eibensteiner, Herbert","Ottel, Robert",,"Dawonsys Co.,Ltd.",,,,,,,,,,EuroGroup Laminations S.p.A.,,,,,,,,,,,Board Member,"Eder, Wolfgang ","Schaller, Heinrich ","Gasselsberger, Franz ","Gritz, Josef ","Schaller, Hans-Karl ","Scheidreiter, Gerhard ","Fritz, Sandra ","Jorg, Ingrid "
